cos_theta,r,g,b
0.008248329162597656,0.9797819836868976,0.9843955999697145,0.9883884885194283
0.008426666259765625,0.9793551888132132,0.9840642841371416,0.988140593994132
0.008606910705566406,0.9789243084630496,0.9837297042342948,0.9878901903081977
0.0087890625,0.9784893598872442,0.9833918703365666,0.9876372825482218
0.008973121643066406,0.9780503606121599,0.9830507926826113,0.9873818758823777
0.009159088134765625,0.9776073284418195,0.9827064816757883,0.9871239755611871
0.009346961975097656,0.9771602814600294,0.9823589478855921,0.9868635869182945
0.0095367431640625,0.9767092380324673,0.982008202049086,0.9866007153712375
0.009728431701660156,0.9762542168087588,0.9816542550723275,0.9863353664222256
0.009922027587890625,0.975795236724525,0.9812971180317834,0.9860675456589169
0.010117530822753906,0.9753323170033996,0.9809368021757483,0.9857972587551971
0.01031494140625,0.9748654771590296,0.9805733189257453,0.9855245114719595
0.010514259338378906,0.9743947369970337,0.9802066798779269,0.9852493096578872
0.010715484619140625,0.9739201166169423,0.9798368968044608,0.9849716592502327
0.010918617248535156,0.9734416364140958,0.9794639816549123,0.9846915662756036
0.0111236572265625,0.972959317081521,0.9790879465576127,0.9844090368507412
0.011330604553222656,0.9724731796117574,0.9787088038210184,0.9841240771833067
0.011539459228515625,0.9719832452986652,0.9783265659350605,0.9838366935726613
0.011750221252441406,0.9714895357391823,0.9779412455724771,0.9835468924106492
0.011962890625,0.9709920728350471,0.9775528555901397,0.9832546801823802
0.012177467346191406,0.9704908787944806,0.9771614090303609,0.9829600634670072
0.012393951416015625,0.9699859761338291,0.97676691912219,0.9826630489385095
0.012612342834472656,0.9694773876791571,0.9763693992826946,0.9823636433664668
0.0128326416015625,0.9689651365677995,0.9759688631182241,0.9820618536168388
0.013054847717285156,0.9684492462498697,0.9755653244256577,0.9817576866527394
0.013278961181640625,0.967929740489712,0.9751587971936383,0.9814511495352068
0.013504981994628906,0.9674066433673129,0.9747492956037828,0.9811422494239758
0.01373291015625,0.9668799792796567,0.9743368340318783,0.9808309935782447
0.013962745666503906,0.9663497729420281,0.9739214270490578,0.9805173893574398
0.014194488525390625,0.9658160493892625,0.9735030894229554,0.9802014442219754
0.014428138732910156,0.9652788339769414,0.9730818361188411,0.979883165734016
0.0146636962890625,0.9647381523825321,0.9726576823007306,0.979562561558224
0.014901161193847656,0.9641940306064578,0.9722306433324808,0.9792396394625161
0.015140533447265625,0.9636464949731297,0.9718007347788513,0.978914407318806
0.015381813049316406,0.9630955721318935,0.9713679724065516,0.9785868731037467
0.015625,0.9625412890579259,0.970932372185258,0.978257044899468
0.015870094299316406,0.9619836730530694,0.9704939502886072,0.9779249308943057
0.016117095947265625,0.9614227517465919,0.9700527230951592,0.977590539383533
0.016366004943847656,0.960858553095882,0.9696087071893434,0.9772538787700755
0.0166168212890625,0.9602911053870806,0.9691619193623641,0.9769149575652287
0.016869544982910156,0.9597204372356364,0.9687123766130855,0.9765737843893667
0.017124176025390625,0.9591465775867891,0.968260096148887,0.976230367972644
0.017380714416503906,0.9585695557159852,0.9678050953864827,0.9758847171556897
0.01763916015625,0.9579894012292117,0.9673473919527178,0.9755368408902972
0.017899513244628906,0.9574061440632634,0.9668870036853245,0.9751867482401032
0.018161773681640625,0.9568198144859205,0.9664239486336546,0.9748344483812622
0.018425941467285156,0.9562304430960572,0.965958245059369,0.974479950603111
0.0186920166015625,0.9556380608236676,0.9654899114371034,0.9741232643088239
0.018959999084472656,0.9550426989298066,0.965018966455089,0.973764399016064
0.019229888916015625,0.9544443890064545,0.9645454290157449,0.9734033643576185
0.019501686096191406,0.9538431629762891,0.96406931823623,0.973040170082031
0.019775390625,0.9532390530923803,0.9635906534489609,0.9726748260542222
0.020051002502441406,0.9526320919377947,0.9631094542020877,0.9723073422560973
0.020328521728515625,0.9520223124251097,0.9626257402599347,0.9719377287871497
0.020607948303222656,0.9514097477958422,0.9621395316033998,0.9715659958650489
0.0208892822265625,0.9507944316197885,0.9616508484303129,0.9711921538262198
0.021172523498535156,0.9501763977942635,0.9611597111557569,0.9708162131264101
0.021457672119140625,0.9495556805432613,0.960666140412341,0.9704381843412474
0.021744728088378906,0.9489323144165086,0.9601701570504373,0.9700580781667834
0.02203369140625,0.9483063342884317,0.9596717821383711,0.9696759054200254
0.022324562072753906,0.9476777753570237,0.959171036962567,0.9692916770394572
0.022617340087890625,0.9470466731426156,0.9586679430276523,0.9689054040855472
0.022912025451660156,0.9464130634865544,0.958162522056513,0.9685170977412398
0.0232086181640625,0.9457769825497688,0.9576547959903046,0.9681267693124391
0.023507118225097656,0.9451384668112534,0.957144786988416,0.9677344302284733
0.023807525634765625,0.9444975530664342,0.9566325174283872,0.9673400920425502
0.024109840393066406,0.9438542784254494,0.9561180099057743,0.9669437664321926
0.0244140625,0.9432086803113127,0.9556012872339732,0.966545465199664
0.024720191955566406,0.9425607964579829,0.9550823724439863,0.966145200272378
0.025028228759765625,0.9419106649083239,0.9545612887841453,0.965742983703289
0.025338172912597656,0.9412583240119697,0.954038059719776,0.9653388276712723
0.0256500244140625,0.9406038124230697,0.95351270893282,0.9649327444814837
0.025963783264160156,0.9399471690979386,0.9529852603213997,0.9645247465657055
0.026279449462890625,0.9392884332925979,0.952455737999329,0.9641148464826754
0.026597023010253906,0.9386276445602068,0.9519241662955771,0.963703056918397
0.02691650390625,0.9379648427483914,0.9513905697536708,0.9632893906864329
0.027237892150878906,0.9373000679964574,0.9508549731310497,0.9628738607281843
0.027561187744140625,0.936633360732503,0.9503174013983612,0.9624564801131443
0.027886390686035156,0.9359647616704212,0.949777879738704,0.9620372620391427
0.0282135009765625,0.9352943118067857,0.9492364335468125,0.9616162198325644
0.028542518615722656,0.9346220524176378,0.9486930884281868,0.9611933669485517
0.028873443603515625,0.933948025055158,0.948147870198166,0.9607687169711882
0.029206275939941406,0.9332722715442296,0.9476008048809427,0.9603422836136611
0.029541015625,0.9325948339788899,0.9470519187085219,0.9599140807184051
0.029877662658691406,0.9319157547186754,0.9465012381196197,0.9594841222572255
0.030216217041015625,0.9312350763848575,0.945948789758503,0.9590524223313993
0.030556678771972656,0.9305528418565612,0.9453946004737753,0.9586189951717583
0.0308990478515625,0.9298690942667862,0.9448386973170946,0.9581838551387487
0.031243324279785156,0.9291838769983072,0.9442811075418397,0.9577470167224686
0.031589508056640625,0.9284972336794725,0.9437218586017126,0.9573084945426871
0.031937599182128906,0.9278092081798869,0.9431609781492807,0.9568683033488369
0.03228759765625,0.9271198446059958,0.9425984940344588,0.9564264580199875
0.032639503479003906,0.9264291872965525,0.9420344343029307,0.9559829735647943
0.032993316650390625,0.9257372808179799,0.9414688271945089,0.9555378651214257
0.033349037170410156,0.9250441699596252,0.940901701141435,0.9550911479574656
0.0337066650390625,0.9243498997289142,0.9403330847666153,0.9546428374697921
0.034066200256347656,0.9236545153463861,0.939763006881797,0.9541929491844349
0.034427642822265625,0.9229580622406364,0.9391914964856832,0.9537414987564052
0.034790992736816406,0.9222605860431504,0.9386185827619827,0.953288501969502
0.03515625,0.9215621325830269,0.9380442950774015,0.9528339747360967
0.035523414611816406,0.9208627478816106,0.9374686629795708,0.9523779330968863
0.035892486572265625,0.9201624781470163,0.9368917161949104,0.9519203932206299
0.036263465881347656,0.9194613697685484,0.9363134846264347,0.95146137140385
0.0366363525390625,0.9187594693110285,0.935733998351492,0.9510008840705172
0.037011146545410156,0.918056823509019,0.9351532876194457,0.9505389477717016
0.037387847900390625,0.9173534792609542,0.9345713828492871,0.9500755791852024
0.037766456604003906,0.9166494836231671,0.9339883146271962,0.9496107951151488
0.03814697265625,0.9159448838038313,0.9334041137040286,0.9491446124915748
0.038529396057128906,0.9152397271567992,0.9328188109927513,0.9486770483699677
0.038913726806640625,0.914534061175358,0.9322324375658101,0.9482081199307872
0.039299964904785156,0.9138279334858876,0.9316450246524368,0.9477378444789594
0.0396881103515625,0.9131213918414308,0.9310566036359003,0.9472662394433428
0.040078163146972656,0.9124144841151807,0.9304672060506877,0.9467933223761636
0.040470123291015625,0.9117072582938782,0.9298768635796323,0.9463191109524283
0.040863990783691406,0.9109997624711231,0.9292856080509777,0.9458436229693025
0.041259765625,0.910292044840611,0.9286934714353846,0.9453668763454643
0.041657447814941406,0.9095841536892822,0.9281004858428731,0.9448888891204296
0.042057037353515625,0.9088761373903943,0.9275066835197109,0.944409679453845
0.042458534240722656,0.9081680443965219,0.9269120968452392,0.943929265624758
0.0428619384765625,0.9074599232324749,0.9263167583286436,0.9434476660308512
0.043267250061035156,0.9067518224881532,0.9257207006056623,0.9429648991876504
0.043674468994140625,0.9060437908113211,0.9251239564352411,0.9424809837277057
